title,url,grand_prix,conference_type,year
FIA post-race press conference - Abu Dhabi,https://www.formula1.com/en/latest/article/fia-post-race-press-conference-abu-dhabi-2022.587x4GcPlQJoRmVWdYFlXt,Abu Dhabi,post-race,2022
FIA post-qualifying press conference - Abu Dhabi,https://www.formula1.com/en/latest/article/fia-post-qualifying-press-conference-abu-dhabi-2022.3Pc8OGoZwgCzPHKs7dolze,Abu Dhabi,post-qualifying,2022
FIA Thursday press conference - Abu Dhabi,https://www.formula1.com/en/latest/article/fia-thursday-press-conference-abu-dhabi-2022.6fVFqdHxPw9Hg8xASsBDv3,Abu Dhabi,thursday,2022
FIA post-Sprint press conference - Brazil,https://www.formula1.com/en/latest/article/fia-post-sprint-press-conference-brazil-2022.3BG5qzl6pkdSJOyPVwyN9F,Brazil,post-sprint,2022
FIA Thursday press conference - Brazil,https://www.formula1.com/en/latest/article/fia-thursday-press-conference-brazil-2022.1yC3AEmHQZZv39fIIGxLAy,Brazil,thursday,2022
FIA post-race press conference - Mexico City,https://www.formula1.com/en/latest/article/fia-post-race-press-conference-mexico-city-2022.7jLyhzROnX4I8Tmn6n1odT,Mexico City,post-race,2022
FIA post-qualifying press conference - Mexico City,https://www.formula1.com/en/latest/article/fia-post-qualifying-press-conference-mexico-city-2022.5UgFYU5rClOgdWW4i2l2j0,Mexico City,post-qualifying,2022
FIA Thursday press conference - Mexico City,https://www.formula1.com/en/latest/article/fia-thursday-press-conference-mexico-city-2022.20QzI6krVpNeZESrUFHF0j,Mexico City,thursday,2022
FIA post-race press conference - United States,https://www.formula1.com/en/latest/article/fia-post-race-press-conference-united-states-2022.3VNWGFjhkoBhGyTrkBJ4dq,United States,post-race,2022
FIA post-qualifying press conference - United States,https://www.formula1.com/en/latest/article/fia-post-qualifying-press-conference-united-states-2022.b5H9PmxW8dr1Tfa8PxIAk,United States,post-qualifying,2022
FIA Thursday press conference - United States,https://www.formula1.com/en/latest/article/fia-thursday-press-conference-united-states-2022.2okCyJ6yIizU6MSh3Gm4CK,United States,thursday,2022
FIA post-race press conference - Japan,https://www.formula1.com/en/latest/article/fia-post-race-press-conference-japan-2022.594ua34CaGUwjFfsmrO9W1,Japan,post-race,2022
FIA post-qualifying press conference - Japan,https://www.formula1.com/en/latest/article/fia-post-qualifying-press-conference-japan-2022.5A4QaX92oTVoBhufexBu93,Japan,post-qualifying,2022
FIA Thursday press conference - Japan,https://www.formula1.com/en/latest/article/fia-thursday-press-conference-japan-2022.6yIN1yhYElbT99woOeVDw3,Japan,thursday,2022
FIA post-race press conference - Singapore,https://www.formula1.com/en/latest/article/fia-post-race-press-conference-singapore-2022.5QBIhPM5zIaRYzTo6pgSiY,Singapore,post-race,2022
FIA post-qualifying press conference - Singapore,https://www.formula1.com/en/latest/article/fia-post-qualifying-press-conference-singapore-2022.U6ou4RUdThKWG0jLscqcP,Singapore,post-qualifying,2022
FIA Thursday press conference - Singapore,https://www.formula1.com/en/latest/article/fia-thursday-press-conference-singapore-2022.5X3P2Ah1MvhSdcvuMh41vn,Singapore,thursday,2022
FIA post-race press conference - Italy,https://www.formula1.com/en/latest/article/fia-post-race-press-conference-italy-2022.5HA2rUGrzMAWRptreWk7e3,Italy,post-race,2022
FIA post-qualifying press conference - Italy,https://www.formula1.com/en/latest/article/fia-post-qualifying-press-conference-italy-2022.3g8awv45zIyUgbPnC0Ln0D,Italy,post-qualifying,2022
FIA Thursday press conference - Italy,https://www.formula1.com/en/latest/article/fia-thursday-press-conference-italy-2022.1GnyaRaopB9mOlysKKP3XC,Italy,thursday,2022
FIA post-race press conference - Belgium,https://www.formula1.com/en/latest/article/fia-post-race-press-conference-belgium-2022.2dTmYFW6DD6XIrMBzBRubb,Belgium,post-race,2022
FIA post-qualifying press conference - Belgium,https://www.formula1.com/en/latest/article/fia-post-qualifying-press-conference-belgium-2022.R9bO3jgOJLTRi5T120V6j,Belgium,post-qualifying,2022
FIA Thursday press conference - Belgian Grand Prix,https://www.formula1.com/en/latest/article/fia-thursday-press-conference-belgium-2022.2LUBKukF3lqVyrIek1kRFs,Belgian Grand Prix,thursday,2022
FIA post-race press conference - Hungary,https://www.formula1.com/en/latest/article/fia-post-race-press-conference-hungary-2022.7etg8xndbA06rST9AYaiZX,Hungary,post-race,2022
FIA post-qualifying press conference – France,https://www.formula1.com/en/latest/article/fia-post-qualifying-press-conference-france-2022.1boMC1S8tveNhCFOVOXHH4,France,post-qualifying,2022
FIA Thursday press conference - French Grand Prix,https://www.formula1.com/en/latest/article/fia-thursday-press-conference-france-2022.7st72IMDvMxnqIcHMhEkYE,French Grand Prix,thursday,2022
FIA Friday press conference – Canada,https://www.formula1.com/en/latest/article/fia-friday-press-conference-canada-2022.68uUt4JMgoJPzyVTmpgMjK,Canada,friday,2022
FIA post-race press conference – Canada,https://www.formula1.com/en/latest/article/fia-post-race-press-conference-canada-2022.4wSW2Q3vcNhVvPLHLTdZf1,Canada,post-race,2022
FIA post-race press conference - Azerbaijan,https://www.formula1.com/en/latest/article/fia-post-race-press-conference-azerbaijan-2022.6rHcuNseURTuHclSjFZHBU,Azerbaijan,post-race,2022
FIA post-qualifying press conference - Azerbaijan,https://www.formula1.com/en/latest/article/fia-post-qualifying-press-conference-azerbaijan-2022.50xgEtk5p9wqYdOzd0amyG,Azerbaijan,post-qualifying,2022
FIA Friday press conference - Azerbaijan,https://www.formula1.com/en/latest/article/fia-friday-press-conference-azerbaijan-2022.1C0NrhOdn49mpksfmvapiE,Azerbaijan,friday,2022
FIA post-race press conference – Monaco,https://www.formula1.com/en/latest/article/fia-post-race-press-conference-monaco-2022.wDEdr0cRKf7qOZTI1pItC,Monaco,post-race,2022
FIA post-qualifying press conference – Monaco,https://www.formula1.com/en/latest/article/fia-post-qualifying-press-conference-monaco-2022.4SDBK8ZkD6OKbBPvENDnwE,Monaco,post-qualifying,2022
FIA post-race press conference – Spain,https://www.formula1.com/en/latest/article/fia-post-race-press-conference-spain-2022.2bzMuC6kcUtibAwifkKfig,Spain,post-race,2022
FIA Friday press conference - Emilia Romagna,https://www.formula1.com/en/latest/article/fia-friday-press-conference-emilia-romagna-2022.36E9OwZdUw5hFexSgzBFXq,Emilia Romagna,friday,2022
FIA post-race press conference - Australia,https://www.formula1.com/en/latest/article/fia-post-race-press-conference-australia-2022.7F41kFNfRngBVdl1ZThMr9,Australia,post-race,2022
FIA post-race press conference - Saudi Arabia,https://www.formula1.com/en/latest/article/fia-post-race-press-conference-saudi-arabia-2022.5sLqtn4WBao9ea8E1pKihy,Saudi Arabia,post-race,2022
FIA Friday press conference – Saudi Arabia,https://www.formula1.com/en/latest/article/fia-friday-press-conference-saudi-arabia-2022.7kTAyWMNB2ECbv7tWcnR4d,Saudi Arabia,friday,2022
FIA post-race press conference - Bahrain,https://www.formula1.com/en/latest/article/fia-post-race-press-conference-bahrain-2022.AXfSgEgqmotu5R6skevbj,Bahrain,post-race,2022
FIA Friday press conference - Bahrain,https://www.formula1.com/en/latest/article/fia-friday-press-conference-bahrain-2022.12Z3uAC3KoT13mYTFs9S9a,Bahrain,friday,2022
